timestamp,open,close,high,low,volume
1733925600000,98736.86,99515.98,99539.29,98369.82,2230.1931
1733929200000,99515.99,100361.64,100800.0,99414.72,5764.6058
1733932800000,100361.64,100575.99,101090.9,100295.61,2950.52479
1733936400000,100576.0,99781.9,100982.07,99660.15,2298.27737
1733940000000,99781.89,100388.71,100786.3,99608.23,2207.59419
1733943600000,100388.72,101122.71,101141.01,100388.71,1758.39622
1733947200000,101122.71,101271.56,101674.72,101024.75,2068.71914
1733950800000,101271.57,101520.12,101536.7,100866.42,1152.9581
1733954400000,101520.13,101209.74,101888.0,101180.63,1098.87478
1733958000000,101209.74,101125.0,101500.0,101068.25,672.65371
1733961600000,101125.0,100772.46,101200.0,100559.71,970.26535
1733965200000,100772.47,100496.3,100861.98,100331.61,1065.71101
1733968800000,100496.3,101824.76,101824.77,100496.3,1067.28192
1733972400000,101824.77,101025.87,101829.0,100792.0,1481.01937
1733976000000,101025.88,100675.7,101191.85,100572.0,877.84617
1733979600000,100675.7,100618.86,101136.92,100617.64,1063.06897
1733983200000,100618.87,100584.37,100701.24,100402.82,548.35286
1733986800000,100584.37,100499.99,100828.16,100496.47,528.75796
1733990400000,100499.99,100980.0,101049.36,100470.58,703.4733
1733994000000,100979.99,100814.07,101126.54,100794.11,604.85218
1733997600000,100814.06,100579.44,100814.07,100473.14,620.99851
1734001200000,100579.44,100358.42,100637.97,100178.32,663.75995
1734004800000,100358.42,100828.0,100944.0,100348.35,783.19887
1734008400000,100828.0,100911.99,101545.78,100540.74,1810.00915
1734012000000,100912.0,101702.04,101749.74,100629.41,2588.59757
1734015600000,101702.04,101797.14,101861.6,100700.07,2345.92427
1734019200000,101797.14,101462.49,102540.0,101462.49,3118.04465
1734022800000,101462.49,101617.65,101700.0,101227.27,1046.05464
1734026400000,101617.64,100857.59,101657.75,100831.0,907.96892
1734030000000,100857.59,99481.32,101052.77,99311.64,2862.5031
1734033600000,99481.33,100028.01,100464.73,99465.33,1571.02583
1734037200000,100028.02,99760.01,100109.09,99700.0,764.0716
1734040800000,99760.01,100444.0,100476.19,99513.0,803.02299
1734044400000,100444.0,100004.29,100476.0,99879.38,436.27831
1734048000000,100004.29,100083.21,100356.85,99939.85,501.95354
1734051600000,100083.21,99323.94,100140.0,99210.53,996.85798
1734055200000,99323.94,99484.99,99675.66,99205.0,1138.64214
1734058800000,99484.99,99729.09,99793.5,99484.98,532.23358
1734062400000,99729.09,100000.46,100054.91,99652.0,531.66419
1734066000000,100000.46,99890.0,100172.0,99850.35,430.05413
1734069600000,99889.99,99700.0,100092.0,99700.0,483.54224
1734073200000,99700.0,100130.0,100225.52,99500.0,1277.18261
1734076800000,100130.01,100272.0,100361.93,99896.0,562.17584
1734080400000,100271.99,100100.0,100340.0,99904.43,499.52207
1734084000000,100100.0,100457.62,100550.0,99913.51,520.33241
1734087600000,100457.62,100353.37,100789.0,100314.19,678.01774
1734091200000,100353.37,100299.85,100470.59,100142.11,462.58738
1734094800000,100299.85,100284.35,100527.91,99936.25,605.47063
1734098400000,100284.36,101018.12,101018.12,100220.92,988.71208
1734102000000,101018.12,99873.16,101375.26,99700.0,2338.34375
1734105600000,99873.16,100988.01,101272.73,99800.0,1964.84991
1734109200000,100988.02,101737.89,101777.75,100780.01,1575.29189
